,d__Bacteria;p__Firmicutes_A,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Firmicutes_D,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Chloroflexota,d__Bacteria;p__Synergistota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Firmicutes_C,d__Bacteria;p__Myxococcota_A_473307,d__Bacteria;p__Firmicutes_B_370539,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Desulfobacterota_I,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Nitrospirota_A_437815,d__Archaea;p__Methanobacteriota_A_1229,d__Archaea;p__Halobacteriota,d__Bacteria;p__Campylobacterota
SRR23216666,4.527393810509821,36.2387374783144,47.853825060160055,7.2835637136941065,0.6827466562202698,0.0,0.013990710168448151,0.02238513626951704,0.8282500419721305,0.0,0.18467737422351557,0.0,0.0,1.8467737422351558,0.17908109015613632,0.0,0.20706251049303262,0.0,0.0,0.0,0.058760982707482236,0.0,0.0
SRR23216663,15.629056838065136,57.68470960094824,14.663882147090366,7.252920923406897,1.17965795563583,0.0,0.0,0.0,0.0,0.0,0.2483490432917537,0.0,0.0,3.1382288197776145,0.13546311452277474,0.0,0.028221482192244733,0.0,0.0,0.0,0.0,0.0,0.033865778630693684
SRR23216665,13.328141225337486,18.136033229491176,46.50051921079958,8.260643821391485,0.612668743509865,0.0,0.0,0.12980269989615784,0.07268951194184839,0.0,0.04153686396677051,0.0,0.0,11.80166147455867,0.06230529595015576,0.0,0.7840083073727933,0.0,0.0,0.0,0.0,0.0,0.0
SRR23216664,21.100204101467586,41.97686850034017,4.908154339585965,6.897333722098034,0.22677940842971456,0.0,0.0,0.11338970421485728,0.025917646677681663,0.0,0.0,0.0,0.0,10.266627790196651,0.3563676418181229,0.0,0.0809926458677552,0.0,0.0,0.0,0.0,0.0,0.045355881685942914
SRR23216662,10.120334342124226,38.02781380602392,32.20564922899553,9.59432194840755,0.054042369217466496,0.0,0.0,0.3314598645337945,0.0,0.0,0.2521977230148436,0.0,0.0,8.455829370226258,0.799827064418504,0.0,0.050439544602968726,0.0,0.0,0.0,0.0,0.0,0.010808473843493299
SRR23216667,10.081512509906036,20.80267179893581,28.622778218045962,21.937620287558023,4.853956753085022,0.0,0.014151477414242048,0.17264802445375296,0.028302954828484096,0.0,0.08490886448545228,0.0,0.0,13.05898335786256,0.12453300124533001,0.0,0.18679950186799502,0.0,0.0,0.0,0.016981772897090457,0.0,0.0
ERR1474249,27.548692753114583,36.1115985260572,10.686085278118968,4.018248815581681,6.527460958062818,0.0,0.0,0.0,0.0,0.0,6.053693630461485,0.0,0.0,0.15792244253377785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1474250,13.198060693122644,11.061231818998024,47.297539953312985,10.504578919015982,11.941102531872867,0.0,0.48482671933919913,0.39504399353564373,0.0,0.3770874483749327,0.0,0.10773927096426647,0.0,0.7362183515891543,0.0,0.14365236128568865,0.0,2.531872867660262,0.16160890644639972,0.0,0.0,0.0,0.0
ERR1474244,6.519381946326917,5.753591759284358,13.099756031444837,9.19625914882082,11.236107346164271,0.0,51.78910273786934,0.12198427758200055,0.0,0.04743833017077799,0.02710761724044456,0.0,0.0,1.538357278395229,0.0,0.033884521550555706,0.0,0.04066142586066685,0.0,0.0,0.0,0.0,0.0
ERR1474248,31.8220823798627,39.931350114416475,8.649885583524028,0.12871853546910755,4.77116704805492,0.0,0.0,0.0,0.0,0.0,0.2860411899313501,0.0,1.278604118993135,5.203089244851259,0.028604118993135013,1.106979405034325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
