,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Actinobacteriota;c__Actinomycetia,d__Bacteria;p__Firmicutes_D;c__Bacilli,d__Bacteria;p__Patescibacteria;c__Paceibacteria,d__Bacteria;p__Deinococcota;c__Deinococci,d__Bacteria;p__Chloroflexota;c__Chloroflexia,d__Bacteria;p__Bacteroidota;c__Rhodothermia,d__Bacteria;p__Synergistota;c__Synergistia,d__Bacteria;p__Acidobacteriota;c__Blastocatellia,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia_401430,d__Bacteria;p__Firmicutes_C;c__Negativicutes,d__Bacteria;p__Myxococcota_A_473307;c__Myxococcia,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia,d__Bacteria;p__Firmicutes_B_370539;c__Peptococcia,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia,d__Bacteria;p__Actinobacteriota;c__Rubrobacteria,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia,d__Bacteria;p__Spirochaetota;c__Spirochaetia,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes,d__Bacteria;p__Nitrospirota_A_437815;c__Nitrospiria,d__Archaea;p__Methanobacteriota_A_1229;c__Methanobacteria,d__Archaea;p__Halobacteriota;c__Halobacteria,d__Bacteria;p__Chloroflexota;c__Limnocylindria,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia,d__Bacteria;p__Campylobacterota;c__Campylobacteria
SRR23216666,4.527393810509821,36.2387374783144,0.6463708097823045,47.20745425037775,7.2835637136941065,0.6827466562202698,0.0,0.013990710168448151,0.02238513626951704,0.0,0.8282500419721305,0.0,0.0,0.18467737422351557,0.0,0.0,0.0,0.0,1.8467737422351558,0.0,0.17908109015613632,0.0,0.20706251049303262,0.0,0.0,0.0,0.058760982707482236,0.0,0.0,0.0,0.0
SRR23216663,15.629056838065136,57.68470960094824,0.9143760230287296,13.749506124061636,7.24163233053,1.17965795563583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2483490432917537,0.0,0.0,0.0,0.011288592876897895,3.1382288197776145,0.0,0.13546311452277474,0.0,0.028221482192244733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033865778630693684
SRR23216665,13.328141225337486,18.136033229491176,2.7414330218068534,43.75908618899273,8.224299065420562,0.612668743509865,0.0,0.0,0.12980269989615784,0.0,0.07268951194184839,0.0,0.0,0.04153686396677051,0.0,0.0,0.0,0.036344755970924195,11.80166147455867,0.0,0.06230529595015576,0.0,0.7840083073727933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR23216664,21.100204101467586,41.97686850034017,0.23325882009913498,4.674895519486831,6.861696957916222,0.22677940842971456,0.0,0.0,0.11338970421485728,0.0,0.025917646677681663,0.0,0.0,0.0,0.0,0.03563676418181229,0.0,0.0,10.266627790196651,0.0,0.3563676418181229,0.0,0.0809926458677552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045355881685942914
SRR23216662,10.120334342124226,38.02781380602392,1.372676178123649,30.832973050871882,9.53307392996109,0.054042369217466496,0.0,0.0,0.3314598645337945,0.0,0.0,0.0,0.0,0.2521977230148436,0.0,0.054042369217466496,0.0,0.007205649228995533,8.455829370226258,0.0,0.799827064418504,0.0,0.050439544602968726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010808473843493299
SRR23216667,10.081512509906036,20.80267179893581,0.7188950526434961,27.903883165402465,21.937620287558023,4.853956753085022,0.0,0.014151477414242048,0.17264802445375296,0.0,0.028302954828484096,0.0,0.0,0.08490886448545228,0.0,0.0,0.0,0.0,13.05898335786256,0.0,0.12453300124533001,0.0,0.18679950186799502,0.0,0.0,0.0,0.016981772897090457,0.0,0.0,0.0,0.0
ERR1474249,27.548692753114583,36.1115985260572,1.1931917880329883,9.49289349008598,4.018248815581681,6.527460958062818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.053693630461485,0.0,0.0,0.0,0.0,0.15792244253377785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1474250,13.198060693122644,11.061231818998024,16.232716825282818,31.064823128030167,10.181361106123182,11.941102531872867,0.0,0.48482671933919913,0.0,0.0,0.0,0.3770874483749327,0.0,0.0,0.10773927096426647,0.0,0.0,0.0,0.7362183515891543,0.32321781289279944,0.0,0.14365236128568865,0.0,2.531872867660262,0.16160890644639972,0.0,0.0,0.0,0.39504399353564373,0.0,0.0
ERR1474244,6.519381946326917,5.245323936026023,11.120899972892383,1.9788560585524533,9.047167253998374,11.236107346164271,0.0,51.78910273786934,0.10165356465166712,0.0,0.0,0.04743833017077799,0.0,0.02710761724044456,0.0,0.060992138791000274,0.0,0.020330712930333426,1.538357278395229,0.06776904310111141,0.0,0.033884521550555706,0.0,0.04066142586066685,0.0,0.0,0.0,0.0,0.020330712930333426,0.0,0.0
ERR1474248,31.8220823798627,39.931350114416475,0.0,8.649885583524028,0.022883295194508012,4.77116704805492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2860411899313501,0.0,0.0,1.278604118993135,0.10583524027459955,5.203089244851259,0.0,0.028604118993135013,1.106979405034325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1474235,24.60922930864951,37.63265859695521,0.027125080527582817,3.048180924287119,0.013562540263791409,2.895602346319466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339538195504018,0.0,0.0,0.04746889092326993,0.08815651171464414,6.170955820025091,0.0,1.922490082392432,8.568134811650221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125928186349303
ERR1474237,9.551182843245632,28.13398187043997,1.9787751492372319,30.488613751934558,5.284103471147469,18.007959319036036,0.0,0.0,0.022109219544550078,0.0,0.0,0.0,0.0,1.9456113199204066,0.3758567322573513,0.0,0.0,0.07738226840592527,0.0,0.13265531726730045,0.0,0.0,0.0,0.596948927702852,0.3758567322573513,0.0,0.0,0.0,0.0,0.0,0.0
ERR1474238,43.12124849939976,9.286914765906362,0.009603841536614645,24.264105642256904,0.17767106842737093,2.3145258103241297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01440576230492197,0.0,0.0,0.0,0.6002400960384154,16.321728691476594,0.0,0.0,0.2352941176470588,0.0,0.0,0.01920768307322929,0.0,0.0,0.0,0.0,0.0,0.0
ERR1474246,2.01615246063564,10.551391551914472,16.564987507989077,16.187322061472315,37.464412294462846,6.031026668990762,0.01743071291615827,0.5577828133170646,0.11039451513566904,2.428679332984719,0.0,0.09877403985823022,0.13363546569054674,0.01743071291615827,0.01743071291615827,0.2033583173551798,0.0,0.0,0.615885189704259,0.0,0.06972285166463307,0.0,0.0,0.0,0.0,0.04648190110975539,0.0,6.013595956074604,0.040671663471035964,0.07553308930335251,0.0
ERR1474251,13.404062621296417,12.43369129253461,1.190322163281149,21.287790572303447,1.6992280156984518,27.976883598568165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2760167335144693,0.0,0.0,0.03881485315047224,0.008625522922327166,3.696036572217191,0.0,0.04744037607279941,0.3536464398154138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR1474247,0.4954431463698086,6.098232307786409,64.03143923175729,4.7067098905131814,9.110648969355923,0.6697657349073338,0.0,11.630680775582604,0.02140803718881889,0.018349746161844763,0.0,0.434277325830326,0.012233164107896507,0.027524619242767143,0.006116582053948254,0.018349746161844763,0.0,0.0,0.04281607437763778,0.0,0.0,0.0,0.0,0.0,0.006116582053948254,0.04893265643158603,0.0,0.03975778335066365,0.0,0.0,0.0
