#OTU ID	description	SRR23216666	SRR23216663	SRR23216665	SRR23216664	SRR23216662	SRR23216667	ERR1474249	ERR1474250	ERR1474244	ERR1474248	ERR1474235	ERR1474237	ERR1474238	ERR1474246	ERR1474251	ERR1474247	ERR1474236	ERR1474240	ERR1474239
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	22616.910065667787	10529.022414749992	12615.9361275517	19306.81616253416	16214.392151020693	19139.895178216157	3103.515871134969	4347.009200897221	8525.655794805089	18013.040272743365	17641.503809986338	5560.249888946021	9909.542245005046	10551.526499731915	10842.316008114396	29777.907336062763	20917.335833330293	10406.977137487727	4768.558199127031
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	5341.600833227176	455.39444007916654	872.0340719442448	6498.682382182939	803.240004618611	1527.3974333705985	140.08671849093713	688.6007504034628	2371.406768919313	1112.4367450247696	509.4848259072291	599.6698378568196	143.4757130580936	1226.056841880532	1590.0838547891883	2978.4417093536645	3884.253470956125	274.7273002566868	591.0998192427709
AEROBACTINSYN-PWY	aerobactin biosynthesis	19.604025899415863	0.013423900019553	0.0911743039459769	0.0134239490959951	0.0164494964496507	1.3347527373223889	4.969153086322875	28.656735948818167	3.248247952660581	1.303375114689809	6.056425440889531	2.5638109196577044	9.461208163445631	138.49229782343397	2.1026359154654	3.987251527701537	39.4739982770147	13.927576148115598	5.449524553810122
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	4691.825825223752	513.0448986426667	456.0479128679088	643.6509045287705	2081.0670537831843	5496.081113336591	689.5024200204223	2392.018737923016	2371.554044608768	5865.794734288579	3383.999534783311	2681.26152739852	2508.822811350969	4249.917376247127	4397.512426877363	4913.034203470289	8865.763879052107	2016.602903496762	1856.1028387609465
ANAEROFRUCAT-PWY	homolactic fermentation	21022.60844034129	8138.316326035425	12379.83978613479	17965.11805326989	14638.335088622129	19751.72351628318	3514.7947602907298	4482.3265642302	9014.923510613442	18917.671872314542	17638.868340682973	6045.453775148701	11587.695351226772	10310.81536316972	13187.362462898189	22538.619475491323	20550.59859612197	10457.882377091102	4738.61590416836
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	23354.763350287925	12628.694034421076	14959.852369850963	23116.36525601406	18278.507681582418	23289.30722047222	4070.247319631919	4843.755960191343	9676.33849047503	23032.38583063063	23793.379105201628	6602.343296194173	14080.723493929008	11419.322166585196	13689.661641985434	27547.794835401368	24065.48291415553	13607.808075947478	5728.766594351196
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	6352.575513357859	1968.7600343748131	5566.406505816492	2682.0225132826986	3905.393712448148	3819.940408942501	1266.2229756649754	2455.0152185329134	2884.1372095153997	7049.233952991834	5146.287141185797	1837.7632714558788	6161.064457795244	3322.172915813628	4816.0198748222265	9597.059914799876	7981.70125103697	5656.635671681729	1923.535103185378
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	4.940553647972064	0.0	0.2669022168630235	0.0	0.2873137881745805	1.0110877168298684	287.50849012773267	228.14038306481348	114.68067851954076	715.275910580223	1037.91332143018	740.8027740111631	887.0268374118907	286.1726855670105	1484.33803311741	352.0275584696448	771.9646057984746	1235.6794940451734	326.47585936942704
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	6812.404596874163	2815.3446835497007	4701.420034010338	6618.113720624607	5719.462792609565	9531.776981664658	530.3814539923188	1832.0365066027175	1579.6039924911188	4460.990806306561	3802.44121437502	1694.7898488827138	4594.99737335228	2321.1406665561467	3246.5035879314	5216.149528974975	6984.910513879055	1793.1592461566452	1330.697033034785
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	18172.362896077157	6617.650564147143	10253.2896493274	10766.610006640189	12120.070458812896	16352.528938714231	2428.626422290926	3813.4691614384897	7652.639357551047	12709.641904873764	13365.393298635732	4349.727535578933	7416.263959070116	10001.979776369011	7391.487076153072	26285.445119572207	17235.345381857125	5495.260975078119	3825.3458746205856
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	17306.2157519313	5565.240701419518	10772.14494521242	11748.130483422534	11667.430880390924	16955.06472293262	2317.20550962306	4107.004499692082	8784.773726719928	12471.846093190985	12971.933799773544	4693.820480488629	7267.289694174078	10445.683407074825	7916.879173891893	28999.25158879623	16305.271257853372	5276.857657287897	4141.954851746591
ARO-PWY	chorismate biosynthesis I	22722.56604226688	9761.985117307306	13568.27592577423	19944.801330013983	16287.022585082115	20171.52375562418	3101.473117676541	4763.1151991562765	9338.601544715486	20555.34256574176	17248.40948966438	5941.16847115308	11711.689424497135	10979.723286875424	9775.541445254908	27299.809048284817	20106.149806155638	10277.6659516349	5192.068687694825
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	14524.977570600093	7995.453604416592	5900.678145577602	12633.122872892294	9496.143122536398	12489.11744486718	3084.876214638334	2667.564659695985	2635.3957495868312	19671.54747572959	22667.826880621706	4737.248371217104	10986.187425348096	5483.025760385412	8846.151382632737	5659.06371504207	11134.269350092787	11379.18621464918	4099.011870510726
AST-PWY	L-arginine degradation II (AST pathway)	16.507157913860684	121.58001176602316	19.192412943258365	116.41235928372627	85.06486434319265	8.10773118455981	205.7286409704685	362.9739777538305	417.5026204213059	346.678278718945	506.3720238570062	1029.7946053566814	749.0283666599347	1460.6588856183862	1035.3982104621762	1402.6065796949088	1965.2057310644252	817.5376000956693	549.4660937338787
BENZCOA-PWY	anaerobic aromatic compound degradation (Thauera aromatica)	7.47780853848911	0.0	0.0	0.0	0.0	11.47513490212483	0.0	0.0122462262969375	0.0	0.0	0.0	9.19545198744505e-06	0.0	0.0712168315066324	0.0	0.000339092884993	0.0142048084786164	0.0	0.0055983724561814
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	18967.02853122899	5106.381456690656	8996.838810903502	12458.789233245045	10831.587973808826	13618.964446160506	1823.1077477531185	3594.6649183101986	2838.2205808819594	16766.41155103597	13849.828669310538	4523.258597461512	7143.081464505886	5142.425370068397	8080.264272123746	19321.204659957555	16101.707620541596	7487.78749457519	3445.2586238313925
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	28624.474717751167	11374.046035898302	14794.475363828878	20318.62409059877	18769.566211027606	22574.91080740099	3806.556335177492	6106.897174759479	10535.248260663064	20298.34165218713	21692.56525184504	6835.9660280540775	11419.693355580088	15822.455096024443	11174.344159060469	36796.23469713245	27024.59749418652	11228.036594283883	5888.82827275256
CALVIN-PWY	Calvin-Benson-Bassham cycle	24944.32727831408	12633.276468721398	15622.341460790223	24543.029745392087	20001.39553291906	23754.130167939136	4287.485197498727	5288.135406872163	10083.865492908244	25355.963688653505	23590.819942421174	6845.9384025266745	14457.820558115636	12794.777250951	13436.40982552086	32130.125217419474	23022.251312275832	15458.053992073314	6275.331869966973
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	2564.758356135931	792.4279000015878	657.4649984000667	1023.2739916448688	835.1299792290326	1822.8890590742208	98.71787209765178	545.577042198809	1083.5031405963348	29.64690998591456	6.113332066783075	1349.7504901029808	53.445937003364186	3718.5491320484166	1023.9630948660704	6106.253673893578	3761.933397473856	36.3736430235471	1238.791343805609
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	6.796804737861352	0.0	0.0	3.7528835401081073e-06	4.311989556048624e-05	10.656788608563076	0.0	6.664746509317373	1.99999999999858e-16	0.0	0.0	19.66617160324884	0.7130748365845683	13.878731453531463	0.0	1.9147398922731436	46.16619429287976	0.0	5.754886422415308
CENTFERM-PWY	pyruvate fermentation to butanoate	4659.093037638926	4335.466701829609	4473.420780036545	5447.173322976669	4082.461580004579	5414.308961691666	1350.7398672613426	1405.6535207027273	3857.00095690764	11243.944978227088	9591.937133949506	1693.5455325987264	4672.609850406308	1320.1438188438285	6396.567484289261	4816.440849664137	6371.415715700158	3960.4126399242814	2049.791800238061
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	402.8005670263423	50.58430676491782	148.9480013563877	51.02986928115402	150.47040189057958	110.26033684623532	32.18821258637009	254.1549265543572	36.02482679412506	13.85623837368613	0.4361704149428153	321.32575574934896	12.456586678035652	842.0597488400223	12.132007142583785	1881.7706095305084	454.5566994207652	5.444763953946741	122.2342805189558
